album,name,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Ghosts VI: Locusts,The Cursed Clock,420797,"G (also Fdouble sharp, Adouble flat)",Major,4,0.9470000000000001,0.395,0.157,0.961,0.166,-16.565,0.0389,64.99600000000001,0.0334
Ghosts VI: Locusts,Around Every Corner,652650,"D (also Cdouble sharp, Edouble flat)",Major,3,0.932,0.34600000000000003,0.415,0.899,0.08800000000000001,-11.9,0.0292,77.639,0.0595
Ghosts VI: Locusts,The Worriment Waltz,565679,"C (also B♯, Ddouble flat)",Minor,3,0.9740000000000001,0.11,0.21899999999999997,0.902,0.129,-21.715,0.038,59.445,0.0365
Ghosts VI: Locusts,Run Like Hell,337678,"A (also Gdouble sharp, Bdouble flat)",Major,4,0.8909999999999999,0.5589999999999999,0.57,0.899,0.28,-11.501,0.031,146.02,0.0826
Ghosts VI: Locusts,When It Happens (Don't Mind Me),175729,"D♯, E♭ (also Fdouble flat)",Major,4,0.0979,0.434,0.759,0.000227,0.145,-6.879,0.0305,140.02,0.0375
Ghosts VI: Locusts,Another Crashed Car,143510,"D (also Cdouble sharp, Edouble flat)",Major,3,0.8220000000000001,0.524,0.20800000000000002,0.326,0.114,-26.22,0.11800000000000001,137.537,0.121
Ghosts VI: Locusts,Temp Fix,106935,"F♯, G♭ (also Edouble sharp)",Major,4,0.903,0.524,0.292,0.951,0.113,-16.523,0.0314,136.09799999999998,0.157
Ghosts VI: Locusts,Trust Fades,192779,"C (also B♯, Ddouble flat)",Major,4,0.972,0.478,0.133,0.897,0.109,-22.249000000000002,0.0351,127.97200000000001,0.18600000000000003
Ghosts VI: Locusts,A Really Bad Night,293100,"D (also Cdouble sharp, Edouble flat)",Minor,4,0.96,0.115,0.135,0.917,0.183,-21.338,0.0391,80.735,0.0388
Ghosts VI: Locusts,Your New Normal,225034,"B (also Adouble sharp, C♭)",Minor,4,0.624,0.698,0.259,0.941,0.141,-15.863,0.0443,129.982,0.332
Ghosts VI: Locusts,Just Breathe,420448,"F (also E♯, Gdouble flat)",Minor,3,0.777,0.168,0.42700000000000005,0.883,0.259,-15.712,0.0623,88.906,0.0886
Ghosts VI: Locusts,Right Behind You,102716,"A (also Gdouble sharp, Bdouble flat)",Minor,5,0.878,0.245,0.00564,0.779,0.10099999999999999,-29.713,0.0368,136.726,0.0372
Ghosts VI: Locusts,Turn This Off Please,788454,"A (also Gdouble sharp, Bdouble flat)",Major,4,0.763,0.376,0.541,0.95,0.11199999999999999,-15.298,0.0711,146.036,0.0721
Ghosts VI: Locusts,So Tired,224569,"F♯, G♭ (also Edouble sharp)",Major,3,0.866,0.235,0.0366,0.823,0.11199999999999999,-26.729,0.0367,67.813,0.0373
Ghosts VI: Locusts,Almost Dawn,334172,"D (also Cdouble sharp, Edouble flat)",Minor,4,0.899,0.342,0.382,0.951,0.0921,-18.732,0.0425,89.875,0.0922
